,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Moving On,2024-04-22,9223,425,0,90,Apr
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2888,75,0,24,Nov
2,A Data Dream Come True,2023-11-17,2335,95,0,23,Nov
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6283,413,0,77,Sep
4,How to Survive a Down Data Job Market,2023-09-05,17441,576,0,63,Sep
5,The Harsh Reality of the Data Job Market,2023-08-24,108364,2612,0,288,Aug
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6468,249,0,42,Aug
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4434,133,0,48,Aug
8,7 Enticing Jobs AI Will Create,2023-07-24,4832,199,0,37,Jul
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4188,144,0,31,Jul
10,Exciting Announcement!,2023-06-23,6691,297,0,50,Jun
11,AI: A Customer Service Revolution?,2023-05-26,3996,123,0,35,May
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,51597,1625,0,60,May
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,35472,1477,0,77,May
14,This AI question will determine our future,2023-04-06,4321,262,0,37,Apr
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71489,834,0,78,Apr
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8892,501,0,7,Mar
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7869,418,0,2,Mar
18,you're job searching wrong. #shorts,2023-03-23,4528,269,0,3,Mar
19,The Economics of Data Roles #shorts,2023-03-21,10381,626,0,13,Mar
20,Why your phone knows everything you say #shorts,2023-03-18,3650,170,0,8,Mar
21,Read these for a successful career. #shorts,2023-03-16,3259,255,0,2,Mar
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2947,56,0,5,Mar
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,3038,142,0,1,Mar
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20878,773,0,49,Mar
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8677,280,0,13,Mar
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2821,171,0,2,Feb
27,Learning On the companies dime #shorts,2023-02-24,3267,177,0,1,Feb
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4581,281,0,6,Feb
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7380,411,0,6,Feb
30,Don't Go into Data for the Money #shorts,2023-02-15,3836,220,0,12,Feb
31,First Data Science Project? Watch This.,2023-02-13,7915,377,0,24,Feb
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3710,245,0,7,Feb
33,The Hard Reality of Data Science Work #shorts,2023-02-06,17260,907,0,18,Feb
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,5007,198,0,6,Feb
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4448,350,0,7,Feb
36,Will Data Science Be Automated? #shorts,2023-01-27,10510,437,0,9,Jan
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5303,300,0,10,Jan
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9717,524,0,51,Jan
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,10516,813,0,16,Jan
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6428,476,0,10,Jan
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,7863,530,0,8,Jan
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7201,430,0,3,Jan
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,128980,4197,0,256,Jan
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4985,208,0,28,Dec
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20884,859,0,46,Nov
46,The Data Content House: What You Missed,2022-10-07,10609,348,0,49,Oct
47,Is Data Science A Good Career?,2022-09-29,64067,1980,0,140,Sep
48,IRON ANALYST (Teaser) #shorts,2022-09-27,5677,363,0,22,Sep
49,When a New Data Scientist Joins The Team,2022-08-29,16807,755,0,134,Aug
50,State of Data Science - Web Data,2022-08-05,10497,351,0,34,Aug
51,Data Science Town Hall - State of Data Science,2022-08-04,10018,367,0,37,Aug
52,The Programming Roadmap For Data Science,2022-07-29,28408,1324,0,63,Jul
53,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,98580,3502,0,94,Jun
54,Can AI Fix my Baseball Swing?,2022-06-10,7951,347,0,68,Jun
55,Every Data Scientist... (funny!),2022-05-24,17705,860,0,146,May
56,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,16020,425,0,64,May
57,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,72463,1767,0,85,Apr
58,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,22212,911,0,110,Mar
59,Data Scientists VS NFT Scam,2022-03-03,5005,189,0,41,Mar
60,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11419,514,0,144,Feb
61,What Professional Data Scientists ACTUALLY Do,2022-02-14,101085,3465,0,187,Feb
62,Can You Analyze My Data Better Than I Can?,2022-01-31,7573,324,0,60,Jan
63,Giving Back to My Most Engaged Subscribers!,2022-01-28,2340,118,0,87,Jan
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,58774,1362,0,150,Jan
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,9021,427,0,82,Jan
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8663,255,0,33,Jan
67,The Only Data Science Explanation You Need,2022-01-10,69616,2314,0,172,Jan
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14595,645,0,144,Jan
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,345568,15001,0,531,Dec
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,16588,520,0,68,Dec
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8122,572,0,25,Dec
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25145,1184,0,143,Dec
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29796,1100,0,137,Nov
74,Is Data Science Dying?,2021-11-19,126236,3906,0,361,Nov
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8613,401,0,113,Nov
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3651,202,0,44,Nov
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14358,305,0,39,Oct
78,ML Ops: What is it REALLY?,2021-10-22,7294,286,0,66,Oct
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6963,303,0,50,Oct
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2222,122,0,5,Oct
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6047,283,0,64,Oct
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13107,534,0,108,Aug
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10429,436,0,32,Aug
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42501,1633,0,32,Aug
85,How I Learned to Learn.,2021-07-31,51048,2360,0,209,Jul
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11305,611,0,51,Jul
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2470,92,0,30,Jul
88,Why are APIs Important for Data Science?,2021-07-09,10780,474,0,95,Jul
89,Is Your Phone REALLY Listening to You?,2021-07-03,5272,278,0,116,Jul
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,17518,652,0,123,Jun
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4132,226,0,39,Jun
92,#66DaysOfData - What is it? #shorts,2021-06-11,9577,400,0,54,Jun
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,17047,1031,0,89,Jun
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7560,390,0,195,May
95,How Data Science Projects Pay Off,2021-05-22,11094,611,0,146,May
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10777,489,0,134,May
97,What is a lambda function (python)? #shorts,2021-05-13,16241,979,0,49,May
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34226,1757,0,63,May
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25471,1307,0,85,Apr
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77774,3433,0,285,Apr
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23700,698,0,85,Apr
102,Why You Probably Won't Become a Data Scientist,2021-04-09,139343,4033,0,474,Apr
103,How to Go From Data Analyst to Data Scientist,2021-04-02,55967,1579,0,178,Apr
104,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4037,139,0,92,Mar
105,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18851,362,0,108,Mar
106,My Regrets as a Data Science Student,2021-03-12,24160,881,0,112,Mar
107,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3857,194,0,83,Mar
108,What is the Future of my Comment Leaderboard Project?,2021-02-26,5616,201,0,81,Feb
109,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7098,176,0,51,Feb
110,Why I Quit Data Science,2021-02-12,105652,2352,0,346,Feb
111,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10851,562,0,116,Jan
112,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7047,292,0,126,Jan
113,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10399,314,0,53,Jan
114,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,24334,715,0,134,Jan
115,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,40610,1176,0,148,Jan
116,What is the #66DaysOfData?,2020-12-26,71175,2339,0,200,Dec
117,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131877,5945,0,488,Dec
118,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11209,402,0,131,Dec
119,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23856,723,0,324,Dec
120,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28867,872,0,160,Nov
121,6 Lessons from #66DaysOfData,2020-11-13,6790,338,0,93,Nov
122,100K Channel Update + AMA Stream!,2020-11-12,2325,126,0,21,Nov
123,Find a Data Science Project With These 3 Techniques,2020-11-06,17135,735,0,106,Nov
124,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28482,696,0,155,Oct
125,git for Data Science Made Simple... (Hopefully),2020-10-23,22067,925,0,90,Oct
126,The PODCAST you might have asked for?,2020-10-19,2130,92,0,44,Oct
127,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6828,451,0,113,Oct
128,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14865,428,0,47,Oct
129,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7238,152,0,60,Oct
130,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12660,586,0,83,Oct
131,Sh*t Data Scientists Say (Parody),2020-10-05,9816,582,0,144,Oct
132,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8654,364,0,93,Oct
133,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7111,285,0,59,Sep
134,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,12090,290,0,69,Sep
135,5 Essential Data Science Projects for Your Portfolio,2020-09-26,74868,3139,0,207,Sep
136,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5259,201,0,64,Sep
137,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,14674,538,0,60,Sep
138,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7611,254,0,34,Sep
139,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5145,197,0,56,Sep
140,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4419,156,0,35,Sep
141,The 5 Pillars of Success I Live By,2020-09-11,10182,870,0,152,Sep
142,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1906,78,0,25,Sep
143,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4072,166,0,43,Sep
144,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,12078,743,0,145,Sep
145,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18137,574,0,89,Sep
146,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18437,795,0,93,Aug
147,Why I'm Starting Data Science Over Again.,2020-08-29,50877,2592,0,445,Aug
148,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15503,640,0,78,Aug
149,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13920,486,0,53,Aug
150,Don't Buy My Course..,2020-08-21,7359,358,0,146,Aug
151,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29195,1103,0,166,Aug
152,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3282,127,0,38,Aug
153,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6409,538,0,108,Aug
154,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5135,188,0,37,Aug
155,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,14017,429,0,53,Aug
156,The Plagiarism Problem in Data Science,2020-08-07,13139,629,0,145,Aug
157,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14626,605,0,89,Aug
158,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,5102,189,0,56,Aug
159,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11608,584,0,90,Jul
160,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2372,116,0,34,Jul
161,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5868,254,0,112,Jul
162,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8353,248,0,199,Jul
163,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1886,97,0,27,Jul
164,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29428,562,0,90,Jul
165,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,379497,8110,0,444,Jul
166,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30648,1123,0,121,Jul
167,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3682,133,0,50,Jul
168,The Best Computer for Data Science Beginners,2020-07-10,39833,863,0,158,Jul
169,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6190,231,0,82,Jul
170,Critiquing MY OWN Data Science Resume,2020-07-06,12844,399,0,88,Jul
171,Where to Start Learning Data Science,2020-07-03,19215,786,0,125,Jul
172,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4255,198,0,35,Jul
173,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4689,179,0,52,Jun
174,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16858,554,0,79,Jun
175,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2446,82,0,40,Jun
176,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2392,139,0,49,Jun
177,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4452,168,0,46,Jun
178,Why You're Struggling to Learn Data Science,2020-06-12,15358,1001,0,159,Jun
179,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12334,365,0,70,Jun
180,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24645,696,0,145,Jun
181,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5739,154,0,53,Jun
182,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,78388,2281,0,277,May
183,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21033,488,0,81,May
184,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,57263,2017,0,178,May
185,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11320,179,0,53,May
186,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,140463,4604,0,194,May
187,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3108,146,0,115,May
188,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4580,155,0,74,May
189,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1402179,48891,0,1987,May
190,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5650,199,0,42,May
191,What You Need to Know for a Data Science Internship,2020-05-01,22842,1217,0,60,May
192,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8442,348,0,53,Apr
193,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15009,453,0,101,Apr
194,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3218,85,0,24,Apr
195,5 Tips for Crushing the Work From Home Life,2020-04-20,5477,199,0,38,Apr
196,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,22973,753,0,129,Apr
197,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,31265,749,0,99,Apr
198,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,46607,931,0,155,Apr
199,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,75924,1944,0,214,Apr
200,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,85081,1807,0,278,Apr
201,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,136985,3626,0,624,Apr
202,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,212852,5276,0,173,Apr
203,When Data Science Goes Wrong,2020-03-30,1827,106,0,30,Mar
204,How to ULTRALEARN Data Science,2020-03-27,62343,3808,0,168,Mar
205,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4511,267,0,50,Mar
206,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13980,479,0,45,Mar
207,The Secret Data Scientists Don't Want You to Know,2020-03-16,11004,1144,0,100,Mar
208,The 5 Stages of Learning Data Science,2020-03-13,17697,1293,0,70,Mar
209,Can You Learn Data Science Without a Computer?,2020-03-11,2001,134,0,14,Mar
210,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,350638,21222,0,621,Mar
211,The Data Science Projects that Got Me a Job,2020-03-06,41784,1395,0,41,Mar
212,How to Integrate Data Science into Your Business,2020-03-02,3449,128,0,16,Mar
213,The Problem with Data Science,2020-02-28,3826,151,0,18,Feb
214,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1212,44,0,16,Feb
215,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,141613,2605,0,97,Feb
216,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,334795,17972,0,527,Feb
217,Data Science Advice for College Students,2020-02-14,69275,1966,0,195,Feb
218,Avoid These Data Science Resume Mistakes!,2020-02-10,28964,1250,0,62,Feb
219,Data Science Explained with ... Cooking?,2020-02-07,5542,315,0,48,Feb
220,The 4 Types of Sports Analytics Projects,2020-02-03,33946,1091,0,65,Feb
221,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,626,18,0,13,Jan
222,How I Learned Data Science,2020-01-27,94501,2684,0,208,Jan
223,What is Sports Analytics Really?,2020-01-20,22804,637,0,75,Jan
224,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,113430,3163,0,575,Jan
225,How To Learn Programming for Data Science [3 Steps],2020-01-13,30263,1982,0,96,Jan
226,Data Science Fundamentals: SQL Queries,2020-01-10,6883,220,0,35,Jan
227,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3184,150,0,14,Jan
228,The 9 Books That Changed My Perspective in 2019,2020-01-03,3409,176,0,25,Jan
229,The Data Science Interview: What to Expect,2019-12-30,8732,384,0,32,Dec
230,5 Data Science Resolutions for 2020,2019-12-27,478,24,0,12,Dec
231,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,18635,642,0,95,Dec
232,Collision Course: Sports Betting + Data Science,2019-12-20,20481,540,0,27,Dec
233,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101082,2915,0,204,Dec
234,5 Sports Analytics Books to Get You Started,2019-12-13,11718,433,0,60,Dec
235,Math Needed for Mastering Data Science,2019-12-09,58353,2903,0,218,Dec
236,The 5 Stages of Data Science Adoption,2019-12-06,1359,69,0,17,Dec
237,How YOU Can Land a Sports Analytics Job,2019-12-02,73891,3201,0,230,Dec
238,Data Science Fundamentals: Linear Regression,2019-11-29,6562,175,0,42,Nov
239,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1253,54,0,12,Nov
240,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6834,281,0,26,Nov
241,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46851,1757,0,79,Nov
242,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,6006,138,0,31,Nov
243,Why Selling Is An Important Data Science Skill,2019-11-04,1675,80,0,13,Nov
244,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,3075,73,0,18,Oct
245,Why is Balance Important in Data Science?,2019-10-16,727,32,0,13,Oct
246,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12106,582,0,55,Sep
247,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4361,120,0,35,Sep
248,6 Habits of Successful Data Scientists,2019-09-13,2289,98,0,17,Sep
249,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5169,107,0,10,Sep
250,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,525,23,0,29,Aug
251,Is Data Science Right For You?,2019-08-18,52805,1201,0,109,Aug
252,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15357,396,0,55,Aug
253,How To Get Data Science Experience (Without a Job),2019-08-08,30019,1389,0,77,Aug
254,Take Your Data Science Projects From Good to Great,2019-08-05,1648,110,0,11,Aug
255,The Projects You Should Do To Get A Data Science Job,2019-07-30,155177,5765,0,251,Jul
256,What Does a Data Scientist Actually Do?,2019-07-19,53037,1337,0,80,Jul
257,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13410,359,0,44,Jul
258,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18622,540,0,61,Jul
259,Data Science: Pros and Cons,2019-06-30,5657,229,0,18,Jun
260,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26421,1244,0,89,Jun
261,My Top 5 Data Science Internship Tips,2019-06-15,12272,503,0,24,Jun
262,Golf STATS: Strokes Gained Explained,2019-06-07,8330,167,0,31,Jun
263,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,627,44,0,5,May
264,What I Learned From My Three Degrees,2019-05-17,1299,60,0,12,May
265,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25704,1063,0,66,May
266,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1275,39,0,2,May
267,Should You Learn R for Data Science?,2019-04-25,22283,570,0,72,Apr
268,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46728,847,0,329,Apr
269,Work From Home Data Scientist: Day in the Life,2019-04-12,28291,755,0,101,Apr
270,Where to Look for Data Science Jobs,2019-03-29,3041,116,0,9,Mar
271,Data Science: Startup vs. Large Corporation,2019-03-21,2335,76,0,4,Mar
272,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6384,172,0,26,Mar
273,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4296,180,0,15,Mar
274,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,829,32,0,12,Mar
275,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1496,33,0,8,Mar
276,Where YOU Should Start With Data Science Projects,2019-02-19,18455,360,0,20,Feb
277,Watch This Before Applying to Data Science Jobs,2019-02-04,1523,64,0,13,Feb
278,My Top 5 Data Science Resources for 2019,2019-01-05,3765,120,0,15,Jan
279,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,853,34,0,6,Dec
280,The Best Way to Predict NBA Minutes Played,2018-12-11,5357,125,0,15,Dec
281,Demystifying Data Science Roles,2018-11-30,1159,52,0,5,Nov
282,How to Simulate NBA Games in Python,2018-11-19,18734,409,0,50,Nov
283,Should You Get A Masters in Data Science?,2018-11-14,20820,302,0,135,Nov
284,How I Became A Data Scientist From a Business Background,2018-11-12,6589,197,0,23,Nov
285,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9206,192,0,17,Jul
286,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19439,296,0,41,Nov
